fecha,producto_id,nombre,categoria,subcategoria,precio_base,es_estrella,unidades_vendidas,precio_venta,ingresos,Amazon_x,Decathlon_x,Deporvillage_x,anio,dia_semana,es_black_friday,mes,dia,nombre_dia,semana_anio,trimestre,es_fin_semana,es_festivo,es_cyber_monday,inicio_mes,fin_mes,inicio_trimestre,fin_trimestre,dia_anio,semana_mes,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,media_movil_7,descuento_pct,Amazon_y,Decathlon_y,Deporvillage_y,Amazon,Decathlon,Deporvillage,nombre_h_Adidas Own The Run Jacket,nombre_h_Adidas Ultraboost 23,nombre_h_Asics Gel Nimbus 25,nombre_h_Bowflex SelectTech 552,nombre_h_Columbia Silver Ridge,nombre_h_Decathlon Bandas Elásticas Set,nombre_h_Domyos BM900,nombre_h_Domyos Kit Mancuernas 20kg,nombre_h_Gaiam Premium Yoga Block,nombre_h_Liforme Yoga Pad,nombre_h_Lotuscrafts Yoga Bolster,nombre_h_Manduka PRO Yoga Mat,nombre_h_Merrell Moab 2 GTX,nombre_h_New Balance Fresh Foam X 1080v12,nombre_h_Nike Air Zoom Pegasus 40,nombre_h_Nike Dri-FIT Miler,nombre_h_Puma Velocity Nitro 2,nombre_h_Quechua MH500,nombre_h_Reebok Floatride Energy 5,nombre_h_Reebok Professional Deck,nombre_h_Salomon Speedcross 5 GTX,nombre_h_Sveltus Kettlebell 12kg,nombre_h_The North Face Borealis,nombre_h_Trek Marlin 7,categoria_h_Fitness,categoria_h_Outdoor,categoria_h_Running,categoria_h_Wellness,subcategoria_h_Banco Gimnasio,subcategoria_h_Bandas Elásticas,subcategoria_h_Bicicleta Montaña,subcategoria_h_Bloque Yoga,subcategoria_h_Cojín Yoga,subcategoria_h_Esterilla Fitness,subcategoria_h_Esterilla Yoga,subcategoria_h_Mancuernas Ajustables,subcategoria_h_Mochila Trekking,subcategoria_h_Pesa Rusa,subcategoria_h_Pesas Casa,subcategoria_h_Rodillera Yoga,subcategoria_h_Ropa Montaña,subcategoria_h_Ropa Running,subcategoria_h_Zapatillas Running,subcategoria_h_Zapatillas Trail
2021-11-01,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,7,115.07,805.49,81.23,110.51,94.32,2021,0,0,11,1,Monday,44,4,0,0,0,1,0,0,0,305,1,9.0,12.0,12.0,7.0,8.0,8.0,6.0,8.857142857142858,0.06086956521738537,81.23,110.51,94.32,81.23,110.51,94.32,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2021-11-02,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,10,116.1,1161.0,82.69,107.86,97.91,2021,1,0,11,2,Tuesday,44,4,0,0,0,0,0,0,0,306,1,7.0,9.0,12.0,12.0,7.0,8.0,8.0,9.0,0.9565217391304299,82.69,107.86,97.91,82.69,107.86,97.91,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2021-11-03,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,11,114.58,1260.38,83.83,106.35,95.54,2021,2,0,11,3,Wednesday,44,4,0,0,0,0,0,0,0,307,1,10.0,7.0,9.0,12.0,12.0,7.0,8.0,9.285714285714286,-0.3652173913043493,83.83,106.35,95.54,83.83,106.35,95.54,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2021-11-04,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,12,112.23,1346.76,81.21,111.61,96.95,2021,3,0,11,4,Thursday,44,4,0,0,0,0,0,0,0,308,1,11.0,10.0,7.0,9.0,12.0,12.0,7.0,9.714285714285714,-2.40869565217391,81.21,111.61,96.95,81.21,111.61,96.95,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2021-11-05,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,10,113.81,1138.1,82.28,109.7,96.53,2021,4,0,11,5,Friday,44,4,0,0,0,0,0,0,0,309,1,12.0,11.0,10.0,7.0,9.0,12.0,12.0,10.428571428571429,-1.0347826086956502,82.28,109.7,96.53,82.28,109.7,96.53,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2021-11-06,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,10,117.8,1178.0,81.23,108.29,96.79,2021,5,0,11,6,Saturday,44,4,1,0,0,0,0,0,0,310,1,10.0,12.0,11.0,10.0,7.0,9.0,12.0,10.142857142857142,2.4347826086956497,81.23,108.29,96.79,81.23,108.29,96.79,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2021-11-07,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,10,116.04,1160.4,83.4,108.49,96.57,2021,6,0,11,7,Sunday,44,4,1,0,0,0,0,0,0,311,1,10.0,10.0,12.0,11.0,10.0,7.0,9.0,9.857142857142858,0.904347826086962,83.4,108.49,96.57,83.4,108.49,96.57,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2021-11-08,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,9,113.46,1021.14,84.13,109.15,97.73,2021,0,0,11,8,Monday,45,4,0,0,0,0,0,0,0,312,2,10.0,10.0,10.0,12.0,11.0,10.0,7.0,10.0,-1.339130434782614,84.13,109.15,97.73,84.13,109.15,97.73,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2021-11-09,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,11,113.98,1253.78,84.04,109.52,97.24,2021,1,0,11,9,Tuesday,45,4,0,0,0,0,0,0,0,313,2,9.0,10.0,10.0,10.0,12.0,11.0,10.0,10.285714285714286,-0.886956521739127,84.04,109.52,97.24,84.04,109.52,97.24,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2021-11-10,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,10,117.57,1175.7,83.54,109.9,95.59,2021,2,0,11,10,Wednesday,45,4,0,0,0,0,0,0,0,314,2,11.0,9.0,10.0,10.0,10.0,12.0,11.0,10.428571428571429,2.2347826086956464,83.54,109.9,95.59,83.54,109.9,95.59,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2021-11-11,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,10,118.11,1181.1,84.79,108.85,96.24,2021,3,0,11,11,Thursday,45,4,0,0,0,0,0,0,0,315,2,10.0,11.0,9.0,10.0,10.0,10.0,12.0,10.285714285714286,2.704347826086956,84.79,108.85,96.24,84.79,108.85,96.24,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2021-11-12,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,11,112.34,1235.74,84.4,106.98,94.34,2021,4,0,11,12,Friday,45,4,0,0,0,0,0,0,0,316,2,10.0,10.0,11.0,9.0,10.0,10.0,10.0,10.0,-2.313043478260867,84.4,106.98,94.34,84.4,106.98,94.34,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2021-11-13,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,17,114.11,1939.87,83.03,109.83,98.29,2021,5,0,11,13,Saturday,45,4,1,0,0,0,0,0,0,317,2,11.0,10.0,10.0,11.0,9.0,10.0,10.0,10.142857142857142,-0.7739130434782614,83.03,109.83,98.29,83.03,109.83,98.29,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2021-11-14,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,9,116.81,1051.29,84.78,108.5,97.62,2021,6,0,11,14,Sunday,45,4,1,0,0,0,0,0,0,318,2,17.0,11.0,10.0,10.0,11.0,9.0,10.0,11.142857142857142,1.5739130434782627,84.78,108.5,97.62,84.78,108.5,97.62,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2021-11-15,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,12,115.08,1380.96,82.35,110.19,93.85,2021,0,0,11,15,Monday,46,4,0,0,0,0,0,0,0,319,3,9.0,17.0,11.0,10.0,10.0,11.0,9.0,11.0,0.06956521739130286,82.35,110.19,93.85,82.35,110.19,93.85,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2021-11-16,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,11,113.96,1253.56,81.44,108.98,95.01,2021,1,0,11,16,Tuesday,46,4,0,0,0,0,0,0,0,320,3,12.0,9.0,17.0,11.0,10.0,10.0,11.0,11.428571428571429,-0.904347826086962,81.44,108.98,95.01,81.44,108.98,95.01,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2021-11-17,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,10,113.51,1135.1,81.44,109.82,96.87,2021,2,0,11,17,Wednesday,46,4,0,0,0,0,0,0,0,321,3,11.0,12.0,9.0,17.0,11.0,10.0,10.0,11.428571428571429,-1.295652173913039,81.44,109.82,96.87,81.44,109.82,96.87,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2021-11-18,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,9,113.01,1017.09,82.41,111.27,98.35,2021,3,0,11,18,Thursday,46,4,0,0,0,0,0,0,0,322,3,10.0,11.0,12.0,9.0,17.0,11.0,10.0,11.428571428571429,-1.7304347826086912,82.41,111.27,98.35,82.41,111.27,98.35,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2021-11-19,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,14,111.67,1563.38,84.23,108.42,99.02,2021,4,0,11,19,Friday,46,4,0,0,0,0,0,0,0,323,3,9.0,10.0,11.0,12.0,9.0,17.0,11.0,11.285714285714286,-2.895652173913042,84.23,108.42,99.02,84.23,108.42,99.02,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2021-11-20,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,13,115.2,1497.6,83.66,107.25,95.24,2021,5,0,11,20,Saturday,46,4,1,0,0,0,0,0,0,324,3,14.0,9.0,10.0,11.0,12.0,9.0,17.0,11.714285714285714,0.17391304347826333,83.66,107.25,95.24,83.66,107.25,95.24,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
